Threads,Time_min_max_quicksort,Speedup_min_max_quicksort,Time_gnu_parallel,Speedup_gnu_parallel
1,1.70544,0.7946,1.45353,0.932314
2,1.11648,1.29383,0.88114,1.6394
3,0.822936,1.49174,0.61585,1.99336
4,0.722736,1.84672,0.530864,2.51418
5,0.681344,1.93845,0.476318,2.77284
6,0.597818,2.17557,0.392599,3.31279
7,0.511942,2.40752,0.354803,3.47378
8,0.468589,2.61739,0.304188,4.03199
9,0.464655,2.66836,0.279844,4.43056
10,0.451436,2.70486,0.256847,4.75408
11,0.40967,3.01242,0.240966,5.12146
12,0.412853,2.95026,0.224335,5.42947
13,0.404552,3.06549,0.265617,4.66894
14,0.382209,3.21797,0.246201,4.99566
15,0.404166,3.04929,0.246108,5.00764
16,0.379753,3.24029,0.251939,4.88415
